AÑO,MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,UBIGEO,DOMINIO,ESTRATO,CODINFOR,P317,P318,P319,P319A,P320,P203,P204,P205,P206,P207,P208,P209,IMPUTADO,TICUEST01A,CUESTIONARIOREDUCIDO,TIPOENTREVISTA,FACTOR07,FACTOR_P,NCONGLOME,SUB_CONGLOME
2020,01,005062,034,11,03,010502,4,5,02,1,1,1,12,4,3,1,2, ,2,8, , ,2,0,1,202.730718199665,253.536996724754,006942,00
2020,01,005063,050,11,04,010501,4,5,02,1,1,2, , ,3,1,2, ,2,10, , ,2,0,1,133.478153817609,166.929068321478,006973,00
2020,01,005091,050,11,03,010203,7,6,02,1,2, , , ,5,1,2, ,2,9, , ,2,0,1,91.4589854914527,266.628869192945,006583,00
2020,01,005091,090,11,05,010203,7,6,03,1,1,2, , ,5,1,2, ,1,8, , ,2,0,1,91.4589854914527,266.628869192945,006583,00
2020,01,005124,010,11,03,010306,4,7,01,1,1,2, , ,3,1,2, ,1,9, , ,2,0,1,68.08347059678,109.238356466799,006902,00
2020,01,005124,013,11,03,010306,4,7,02,1,2, , , ,3,1,2, ,2,8, , ,2,0,1,68.08347059678,109.238356466799,006902,00
2020,01,005127,036,11,05,010304,4,7,02,1,2, , , ,3,1,2, ,1,8, , ,2,0,1,68.08347059678,109.238356466799,006917,00
2020,01,005127,080,11,03,010304,4,7,02,1,2, , , ,3,1,2, ,2,9, , ,2,0,1,68.08347059678,109.238356466799,006917,00
2020,01,005127,096,11,03,010304,4,7,02,1,2, , , ,3,1,2, ,2,7, , ,2,0,1,68.08347059678,109.238356466799,006917,00
2020,01,005134,001,11,05,010520,4,7,02,1,1,2, , ,3,1,2, ,2,9, , ,2,0,1,68.08347059678,109.238356466799,006967,00
2020,01,005134,134,11,03,010520,4,7,01,1,2, , , ,3,1,1, ,2,9, , ,2,0,1,68.08347059678,109.238356466799,006967,00
2020,01,005134,137,11,06,010520,4,7,02,1,2, , , ,3,1,2, ,2,8, , ,2,0,1,68.08347059678,109.238356466799,006967,00
2020,01,005137,009,11,04,010513,4,8,01,1,1,2, , ,3,1,2, ,1,7, , ,2,0,1,68.08347059678,109.238356466799,006998,00
2020,01,005138,111,11,05,010513,4,7,02,1,2, , , ,3,1,2, ,2,9, , ,2,0,1,68.08347059678,109.238356466799,007002,00
2020,01,005138,120,11,05,010513,4,7,01,1,2, , , ,3,1,2, ,1,11, , ,2,0,1,68.08347059678,109.238356466799,007002,00
2020,01,005138,120,11,06,010513,4,7,01,1,2, , , ,3,1,2, ,2,9, , ,2,0,1,68.08347059678,109.238356466799,007002,00
2020,01,005149,037,11,02,010114,4,7,01,1,1,2, , ,3,1,2, ,1,8, , ,2,0,1,68.08347059678,109.238356466799,007122,00
2020,01,005168,196,11,03,010605,7,8,02,2,2, , , ,3,1,2, ,1,8, , ,2,0,1,91.4589854914527,266.628869192945,007250,00
2020,01,005168,205,11,05,010605,7,8,01,2,2, , , ,3,1,2, ,2,8, , ,2,0,1,91.4589854914527,266.628869192945,007250,00
2020,01,005173,047,11,04,021801,2,2,02,1,2, , , ,3,1,2, ,1,9, , ,2,0,1,375.265275736874,739.310506701164,012068,00
2020,01,005173,077,11,07,021801,2,2,02,1,1,2, , ,3,1,2, ,2,9, , ,2,0,1,375.265275736874,739.310506701164,012068,00
2020,01,005173,094,11,07,021801,2,2,02,1,1,2, , ,3,1,2, ,1,8, , ,2,0,1,375.265275736874,739.310506701164,012068,00
2020,01,005212,113,11,04,021809,2,2,03,1,1,1,11,1,5,1,2, ,1,8, , ,2,0,1,375.265275736874,739.310506701164,012536,00
2020,01,005218,099,11,03,021806,2,5,02,1,1,2, , ,3,1,2, ,2,9, , ,2,0,1,365.311542098788,719.700645611344,012639,00
2020,01,005224,164,11,06,020801,2,4,02,1,1,2, , ,5,1,2, ,2,8, , ,2,0,1,414.49374639081,826.315921619455,013122,00
2020,01,005242,153,11,08,021102,5,8,02,1,2, , , ,3,1,2, ,2,8, , ,2,0,1,174.953924207184,393.981021766993,013178,00
2020,01,005269,028,11,04,021201,5,5,02,1,1,2, , ,3,1,2, ,2,7, , ,2,0,1,206.153976010005,625.874851580452,012843,00
2020,01,005283,019,11,03,021909,5,7,02,1,1,2, , ,3,1,2, ,1,8, , ,2,0,1,174.953924207184,393.981021766993,012779,00
2020,01,005303,018,11,03,022008,5,6,02,1,1,1,11,1,3,1,2, ,1,8, , ,2,0,1,174.953924207184,393.981021766993,013079,00
2020,01,005303,063,11,03,022008,5,6,01,2,2, , , ,3,1,2, ,2,8, , ,2,0,1,174.953924207184,393.981021766993,013079,00
